word,meaning,translation,root,type,process meaning,normalized form
asawá,spouse; to marry (maN -),spouse;,asawá,-,-,asawa
sanasawá,"married couple, husband and wife",married,sanasawá,-,-,sanasawa
aséwek,smoke,smoke,aséwek,-,-,asewek
manaséwek,"full of smoke, smoky",full,aséwek,nasal_prefix,"actor focus (nasal-assimilating, non-completed)",manasewek
ásikáso,to take care of a child (man -),to,ásikáso,-,-,asikaso
asímaw,to find,to,asímaw,-,-,asimaw
asín,salt,salt,asín,-,-,asin
maasín,(very) salty,salty,asín,nasal_prefix,"actor focus (nasal-assimilating, non-completed)",maasin
asiñggér,"near; come near to, approach (on -)",near,asiñggér,-,-,asingger
asípet,large variety of cockroach; be attacked by cockroaches (-en ),cockroach,asípet,-,-,asipet
maasípet,infested with cockroaches,infested with cockroach,asípet,nasal_prefix,"actor focus (nasal-assimilating, non-completed)",maasipet
asirég,to become black (on -),become black,asirég,-,-,asireg
asitÉra,watering can,watering can,asitÉra,-,-,asitera
ásma,asthma,asthma,ásma,-,-,asma
asó,dog,dog,asó,-,-,aso
asúkar,sugar,sugar,asúkar,-,-,asukar
1asól,"to fetch water from river, Well, etc. (on-), repeatedly (man-)",fetch water,1asól,-,-,1asol
2asúl,blue,blue,2asúl,-,-,2asul
asúnto,"case, affair",case,asún,suffix,3sg genitive enclitic,asunto
asfálto,asphalt,asphalt,asfál,suffix,3sg genitive enclitic,asfalto
aspilí,pin,pin,aspilí,-,-,aspili
atádo,"pile of produce, forming a unit for selling",pile of produce,atádo,-,-,atado
atánor,"relationship holding between parents of person concerned and sponsors at baptism, confirmation, etc.; to become sponsor (man-) (term of reference only; see also comádre, compádre)",godparents,atánor,-,-,atanor
átañg,"an offering composed of coconut, cake, etc. for the purpose of placating malevolent spirits, usually made before sunset; to make such an offering (man-)",offering to spirits,átañg,-,-,atang
átap,"danger; become wild, dangerous (on -)",danger,átap,-,-,atap
maátap,"wild, dangerous, hard to catch",dangerous,átap,nasal_prefix,"actor focus (nasal-assimilating, non-completed)",maatap
atchí,sister,older sister,atchí,-,-,atchi
áteñg,parent,parent,áteñg,-,-,ateng
atép,roof,roof,atép,-,-,atep
atés,(of a girl) liking to make herself attractive,makeup,atés,-,-,ates
átip,"pile, heap, stack up (man -)",stack up,átip,-,-,atip
átis,"tree with sweet, light yellowish green about the size of a large apple, sometimes known as sugar apple",sweetsop,átis,-,-,atis
átol,to keep (man -),keep,átol,-,-,atol
payátol,"keep, cause to be kept",cause to be kept,yátol,prefix,causative/allowative,payatol
atótoñg,trough,through,atótoñg,-,-,atotong
atrasádo,late,late,atrasádo,-,-,atrasado
atráso,failure,failure,atráso,-,-,atraso
atrEvída,to get something without permission,get something without permission,atrEví,suffix,3pl genitive enclitic,atrevida
"atsí, atchí","older sister, older girl or woman of same generation (term of address and reference)",older woman,"atsí, atchí",-,-,"atsi, atchi"
awá,interrogative particle rhetorically seeking addressee’s confirmation of remarks made: ‘isn’t that so?’ Occurs only at the end of sentence,"""right?""",awá,-,-,awa
áwak,waist,waist,áwak,-,-,awak
awáñg,"extent, spaciousness",spacious,awáñg,-,-,awang
maawáñg,"extensive, spacious, of great width",spaciousness,awáñg,nasal_prefix,"actor focus (nasal-assimilating, non-completed)",maawang
awáran,story,story,awár,suffix,locative/referent focus (non-completed),awaran
awát,to receive (maN -),receive,awát,-,-,awat
naáwat,was received (by),was received,naáwat,-,-,naawat
awáwey,"proceeding, going on (of a state or process)",proceeding,awáwey,-,-,awawey
áwel,"ne’er do well, truant",truant,áwel,-,-,awel
áwes,signal with the hand,signal with the hand,áwes,-,-,awes
awét,hardness; become hard (on -),hardness,awét,-,-,awet
áwey,I don’t know! (said by speaker of himself; may be followed by pronoun or  phrase marked for topic,"""I do not know""",áwey,-,-,awey
áwir,"to draw after, direct (maN -); imitate, follow (-en , i.e. the passive transformation of the active form with maN-)",draw after,áwir,-,-,awir
awít,"to carry, take with one (man -; maN - bring someone along)",carry,awít,-,-,awit
awíawít,carry habitually,carry habitually,awít,reduplication,partial reduplication (plural nouns),awiawit
ay,"interjection expressing hesitation, surprise, or consternation: ‘well!’, ‘Goodness!’, ‘Dear me!’","""oh""",ay,-,-,ay
áya,this (= sáya ),this,áya,-,-,aya
áyam,"to live, abide, dwell (man -)",to live,áyam,-,-,ayam
ayáyam,"festivity, get–together",festivity,ayáyam,-,-,ayayam
panaáyamán,"address, place where one lives",address,áyamán,nasal_prefix,causative/instrumental nasal-assimilating,panaayaman
áyap,"contented, happy, entertained; distracted",contended,áyap,-,-,ayap
áyat,"persuade, attract, convince (maN -)",persuade,áyat,-,-,ayat
kaáyat,"persuade, attract, convince (on -)",attract,kaáyat,-,-,kaayat
makaáyat,attractive,attractive,kaáyat,prefix,causative / stative,makaayat
onkamáyat,be likely to attract,be likely to attract,kamáyat,nasal_prefix,actor focus (nasal-assimilating variant),onkamayat
ayawáw,to speak in a loud voice,speak in a loud voice,ayawáw,-,-,ayawaw
áyep,animal,animal,áyep,-,-,ayep
ayerér,uneasy,uneasy,ayerér,-,-,ayerer
ayúra,weapon,weapon,ayúra,-,-,ayura
áysiñg,"dress, outer clothing",clothing,áysiñg,-,-,aysing
baág,G-string or similar covering for private parts of body,G-string,baág,-,-,baag
báat,"to stop, detain",stop,báat,-,-,baat
báaw,cooked rice,cooked rice,báaw,-,-,baaw
bába,cradle (esp. hammock for small children); to rock (child) in cradle (i -),cradle,bába,-,-,baba
bábañg,rice bran,rice ban,bábañg,-,-,babang
babóy,Pig,pig,babóy,-,-,baboy
baég,a tree species the leaves of which are used as food,tree species,baég,-,-,baeg
baét,between; place between (i -),between,baét,-,-,baet
bag,hand bag,hand bag,bag,-,-,bag
bagá,"tell, say, invite or ask by word of mouth (man -)",tell,bagá,-,-,baga
kabagaán,people usually invited,people usually invited,kabagaán,-,-,kabagaan
bágabága,kite (made from paper or suitable leaves),kite,bága,reduplication,partial reduplication (plural nouns),bagabaga
bagát,social occasion; to host an occasion (mañgi–),social occasion,bagát,-,-,bagat
bagbág,"to destroy, ruin (maN -)",destroy,bagbág,-,-,bagbag
bágel,"foolish, mad; become mad (on -)",foolish,bágel,-,-,bagel
ambágel,"foolish, silly",silly,bágel,nasal_prefix,"actor focus (nasal-assimilating, completed)",ambagel
kabaglán,madness,madness,kabaglán,-,-,kabaglan
bágio,"storm, bad weather",storm,bágio,-,-,bagio
"abágio, nabágio","was, could be affected by storm",affected by storm,"abágio, nabágio",-,-,"abagio, nabagio"
bagís,to eat something raw or half cooked,eat something raw,bagís,-,-,bagis
bagisén,dish prepared by cooking meat or entrails in pig's blood(=dinalaán),dish prepared by cooking meat and pig's blood,bagisén,-,-,bagisen
bagó,"to uproot, plough up (man –)",uproot,bagó,-,-,bago
bái,"grandmother, woman of grandparent’s generation (address or reference)",grandmother,bái,-,-,bai
báile,dance (occasion for dancing); to dance (mi-) twenty,dance,báile,-,-,baile
"baíntE, vEínte /baíntE/",twenty,twenty,"baíntE, vEínte /baíntE/",-,-,"bainte, veinte /bainte/"
baíñg,"shame, shyness, inhibition resulting",shame,baíñg,-,-,baing
ambaíñg,"ashamed, inhibited",ashamed,baíñg,nasal_prefix,"actor focus (nasal-assimilating, completed)",ambaing
mabaíñg,shy,shy,baíñg,prefix,causative / stative,mabaing
bíka,"cow, bull, head of cattle; use as work animals, roughly loosen the ground by ploughing (man-)",cow,bíka,-,-,bika
bakál,"war, battle",war,bakál,-,-,bakal
bakás,commemoration of the anniversary of the death of a relative,anniversary of the death,bakás,-,-,bakas
1bakát,"footprint. track (left by animal, etc.); follow a trail of footprints, track (maN-)",footprint,1bakát,-,-,1bakat
2bakát,"loud, loudly",loud,2bakát,-,-,2bakat
bakasyón,vacation,vacation,bakasyón,-,-,bakasyon
bakbák,to whip (maN -),whip,bakbák,-,-,bakbak
bakés,monkey,monkey,bakés,-,-,bakes
báki,"to send, fetch (man -, mañgi -)",send,báki,-,-,baki
bákla,"homosexual, transvestite",homosexual,bákla,-,-,bakla
baklóy,to lift or carry with both arms,carry with both arms,baklóy,-,-,bakloy
bakokól,turtle,turtle,bakokól,-,-,bakokol
vacúna,vaccination; to vaccinate (man -),vaccination,vacúna,-,-,vacuna
bála,bullet,bullet,bála,-,-,bala
balá,lungs,lungs,balá,-,-,bala
balábag,to sleep under the same blanket (man -); (one’s) contemporary,sleep under the same blanket,balábag,-,-,balabag
balakóbak,dandruff,dandruff,balakóbak,-,-,balakobak
baláni,to attract,attract,baláni,-,-,balani
1bálañg,wild (of plants),wild,1bálañg,-,-,1balang
2bálañg,"to lose oneself, get lost",get lost,2bálañg,-,-,2balang
3bálañg,each,each,3bálañg,-,-,3balang
balañgá,reddish or orange colors; become red (on-),become red,balañgá,-,-,balanga
ambalañgá,"red, orange; yolk of egg",red,balañgá,nasal_prefix,"actor focus (nasal-assimilating, completed)",ambalanga
balañgbáñg,waist,hands on waist,balañgbáñg,-,-,balangbang
balañgét,crown (esp. of flowers placed on head,crown,balañgét,-,-,balanget
baláñggot,hat,hat,baláñggot,-,-,balanggot
balañgobóñg,roar,roar,balañgobóñg,-,-,balangobong
baláok,ladle; to ladle (man -),ladle,baláok,-,-,balaok
balaóñg,"territory; nesting place of rat, snake, etc.",territory,balaóñg,-,-,balaong
bálap,"insist, convince, encourage (man -)",insist,bálap,-,-,balap
balatóñg,monggo (mung) beans,monngo beans,balatóñg,-,-,balatong
balátyañg,"iron, steel",iron,balátyañg,-,-,balatyang
báldE,to sprinkle,sprinkle,báldE,-,-,balde
baldó,to skip rope (on -),skip rope,baldó,-,-,baldo
báleg,big; grow up (on -),big,báleg,-,-,baleg
añgkabáleg,quite big,quite big,añgkabáleg,-,-,angkabaleg
abálgan,"grown out of (items of clothing, etc.)",grown out of,abálg,suffix,locative/referent focus (non-completed),abalgan
kabáleg,"area, size",size,kabáleg,-,-,kabaleg
baléñg,odor of stale urine,odor of urine,baléñg,-,-,baleng
ambaléñg,smelling of stale urine,smelling of urine,baléñg,nasal_prefix,"actor focus (nasal-assimilating, completed)",ambaleng
báles,"to put, place (man -)",pour,báles,-,-,bales
balés,"retribution, vengeance, price (of action, etc.)",retribution,balés,-,-,bales
bálet,"but, however",but,bálet,-,-,balet
balewét,lock,lock,balewét,-,-,balewet
báley,town,town,báley,-,-,baley
kabaleyán,person from the same province,person from same province,kabaleyán,-,-,kabaleyan
mabáli,"given to lying, untruthful",untruthful,báli,prefix,causative / stative,mabali
bálibáli,"pleasing, very nice",pleasing,báli,reduplication,partial reduplication (plural nouns),balibali
balikás,to pronounce (man -); pronunciation,pronounce,balikás,-,-,balikas
kabaliksán,"implied, meaning to say",implied,kabaliksán,-,-,kabaliksan
balikátkat,instrument for scraping coconut,instrument for scraping coconut,balikátkat,-,-,balikatkat
balikuát,jump suddenly out of bed (on -),jump suddenly out of bed,balikuát,-,-,balikuat
abalikuát,suddenly awakened,suddenly awakened,abalikuát,-,-,abalikuat
balikúcha,sugar candy,sugar candy,balikúcha,-,-,balikucha
balimgáan,misunderstanding,misunderstanding,balimgá,suffix,locative/referent focus (non-completed),balimgaan
balíntawak,a type of dress for women consisting,type of dress for women,balíntawak,-,-,balintawak
baliñgás,"nickname, pet name",pet name,baliñgás,-,-,balingas
baliñgít,"sweet, pleasant odor",sweet scent,baliñgít,-,-,balingit
ambaliñgít,"sweet smelling, fragrant",fragrant,baliñgít,nasal_prefix,"actor focus (nasal-assimilating, completed)",ambalingit
balisóñg,hunting knife,huntink knife,balisóñg,-,-,balisong
balisóñgsoñg,"cone-like arrangement; to roll something up, make into a cone (man -)",roll something up,balisóñgsoñg,-,-,balisongsong
balíta,"news, information (p1. balbalíta ); to inform (mañgi -)",news,balí,suffix,1du inclusive genitive enclitic,balita
balitók,gold,gold,balitók,-,-,balitok
balíwan,black clothing worn by a person in mourning; to wear such clothing (man -),black clothing,balíw,suffix,locative/referent focus (non-completed),baliwan
balkés,belt,belt,balkés,-,-,balkes
balkón,"upstairs veranda, balcony",balcony,balkón,-,-,balkon
balkót,to wrap something up (-en ),wrap something up,balkót,-,-,balkot
bálo,new,new ,bálo,-,-,balo
baló,"widow, widower",widow,baló,-,-,balo
balólakí,"bachelor, unmarried man under 30",bachelor,balólakí,-,-,balolaki
balólañg,basket for chickens to nest in,basket for chickens to nest in,balólañg,-,-,balolang
bálon,"food to be taken with one on a journey, etc.; to take food prepared for this purpose (mañgi -)",food to be taken to a journey,bálon,-,-,balon
balór,"cost, price",cost,balór,-,-,balor
balót,(always follows negative) absolutely [not],absolutely not,balót,-,-,balot
balóta,ballot,ballot,baló,suffix,1du inclusive genitive enclitic,balota
balsák,"to count with beads, counters, etc.",counters,balsák,-,-,balsak
balsákan,rosary beads,rosary beads,balsák,suffix,locative/referent focus (non-completed),balsakan
bálsamo,to embalm,embalm,bálsa,suffix,2sg genitive enclitic,balsamo
bálsan,to pour,pour,báls,suffix,locative/referent focus (non-completed),balsan
balsíg,to chop wood (man -),chop wood,balsíg,-,-,balsig
baltík,colic thought to be caused by melevolent spirits,colic thought,baltík,-,-,baltik
fuÉra baltík!,said to drive away harmful effects likely to result e.g from a child's havig been praised for being healthy,drive away harmful effects,fuÉra baltík!,-,-,fuera baltik!
balyañgét,skin eruption caused by prickly heat,skin eruption,balyañgét,-,-,balyanget
bána,"to meet in a place, have a date, appointment (man-, mi-)",appointment,bána,-,-,bana
banál,tired,tired,banál,-,-,banal
banáwañg,"canal, ditch, trench",ditch,banáwañg,-,-,banawang
bandá,band (of musicians),band,bandá,-,-,banda
bandáy,"destructive criticism, malicious talk, slander",slander,bandáy,-,-,banday
bandejádo,platter,platter,bandejádo,-,-,bandejado
bandÉra,flag,flag,bandÉra,-,-,bandera
bándo,shout,shout,bándo,-,-,bando
banél,to crush,crush,banél,-,-,banel
banesbés,the noise made by strong wind; to roar (of the wind) (man -),roar of the wind,banesbés,-,-,banesbes
banikél,having insufficient means for one’s minimal needs or for some important purpose (e.g. educating one’s children),incompetent,banikél,-,-,banikel
vanílla /banílya/,vanilla,vanilla,vanílla /banílya/,-,-,vanilla /banilya/
báno,"to admonish, reprimand (man -)",to,báno,-,-,bano
abáno,harmed by malevolent spirit,harmed,abáno,-,-,abano
bambáno,ill effect resulting from malevolence of spirit,ill,bambáno,-,-,bambano
banuít,to fish with a rod (man -); fishhook,to,banuít,-,-,banuit
bánsa,country,country,bánsa,-,-,bansa
banság,"to do several things at once, do simultaneously (man-)",to,banság,-,-,bansag
mibanság,"simultaneously, while, at the same time as","simultaneously,",banság,prefix,reciprocal/distributive,mibansag
bánsal,wedding reception; take part in reception (mi-),wedding,bánsal,-,-,bansal
bántag,"to see, watch (on -)",to,bántag,-,-,bantag
banták,"to throw, cast, throw out (man -, mangi -)",to,banták,-,-,bantak
bantáy,to watch (a spectacle) (on -),to,bantáy,-,-,bantay
bántog,famous,famous,bántog,-,-,bantog
banwá,sun,sun,banwá,-,-,banwa
bányo,bathroom,bathroom,bán,suffix,2pl genitive enclitic,banyo
bañg,"even, though",even,bañg,-,-,bang
bañgá,"pot, jar, esp. stone water jar",pot,bañgá,-,-,banga
bañgár,"to crush, roll flat",crush,bañgár,-,-,bangar
bañgát,"to teach, instruct (man -, mangi -)",teach,bañgát,-,-,bangat
